"Date","Price","Open","High","Low","Vol.","Change %"
"05-02-2025","105.881","101.123","109.051","100.468","1.57M","4.71%"
"04-02-2025","101.123","106.960","108.600","98.615","1.73M","-5.46%"
"03-02-2025","106.965","109.016","109.026","82.390","5.10M","-1.89%"
"02-02-2025","109.029","118.028","121.399","104.640","2.34M","-7.94%"
"01-02-2025","118.433","128.063","131.182","117.852","1.55M","-7.53%"
"31-01-2025","128.075","130.110","134.779","125.393","1.54M","-1.57%"
"30-01-2025","130.113","115.799","133.817","114.272","2.67M","12.36%"
"29-01-2025","115.804","109.973","119.269","109.935","1.05M","5.29%"
"28-01-2025","109.983","115.060","116.915","109.256","905.74K","-4.36%"
"27-01-2025","114.993","117.131","117.852","106.290","1.63M","-1.83%"
"26-01-2025","117.131","123.940","125.077","117.021","825.98K","-5.49%"
"25-01-2025","123.930","118.757","129.238","118.182","1.83M","4.36%"
"24-01-2025","118.754","116.467","122.837","112.893","1.34M","1.96%"
"23-01-2025","116.472","115.330","117.160","111.313","887.72K","0.99%"
"22-01-2025","115.330","119.095","120.225","114.220","853.05K","-3.17%"
"21-01-2025","119.110","118.555","124.836","113.714","1.48M","0.47%"
"20-01-2025","118.547","115.680","127.249","113.002","2.58M","2.48%"
"19-01-2025","115.682","125.392","128.582","111.990","3.02M","-7.73%"
"18-01-2025","125.377","136.992","139.367","123.275","2.42M","-8.48%"
"17-01-2025","136.990","124.213","140.793","124.213","3.48M","10.30%"
"16-01-2025","124.201","117.188","130.083","114.253","4.25M","5.96%"
"15-01-2025","117.210","102.441","118.533","100.783","1.51M","14.42%"
"14-01-2025","102.441","98.397","102.535","97.633","607.64K","4.11%"
"13-01-2025","98.394","102.352","104.332","93.292","1.06M","-3.89%"
"12-01-2025","102.373","104.390","105.242","101.382","381.39K","-1.90%"
"11-01-2025","104.360","103.926","104.948","102.180","402.69K","0.42%"
"10-01-2025","103.928","102.227","106.255","102.105","718.72K","1.67%"
"09-01-2025","102.225","101.406","105.735","100.006","861.69K","0.81%"
"08-01-2025","101.403","102.694","104.966","97.375","1.04M","-1.25%"
"07-01-2025","102.690","114.019","114.840","102.136","1.41M","-9.93%"
"06-01-2025","114.016","115.727","117.071","111.716","948.27K","-1.30%"
"05-01-2025","115.517","111.213","116.090","110.656","570.51K","3.87%"
"04-01-2025","111.210","112.727","112.824","110.106","498.60K","-1.35%"
"03-01-2025","112.727","105.132","114.797","104.122","892.76K","7.22%"
"02-01-2025","105.132","105.139","108.292","104.625","874.06K","0.00%"
"01-01-2025","105.135","103.285","108.052","102.088","696.58K","1.82%"
"31-12-2024","103.257","99.400","104.746","97.826","714.58K","3.88%"
"30-12-2024","99.400","98.364","103.012","97.468","884.53K","1.02%"
"29-12-2024","98.393","100.750","101.557","96.942","512.63K","-2.34%"
"28-12-2024","100.750","100.574","101.726","98.677","433.59K","0.16%"
"27-12-2024","100.586","102.234","106.464","99.747","706.96K","-1.61%"
"26-12-2024","102.234","109.802","110.308","101.090","810.15K","-6.89%"
"25-12-2024","109.802","108.305","110.647","106.920","605.54K","1.34%"
"24-12-2024","108.345","106.765","110.775","104.007","894.91K","1.48%"
"23-12-2024","106.765","99.780","107.620","97.999","1.29M","6.99%"
"22-12-2024","99.785","101.504","103.873","96.921","1.06M","-1.68%"
"21-12-2024","101.495","101.409","105.955","97.949","1.46M","0.08%"
"20-12-2024","101.414","99.378","103.287","86.946","2.61M","2.06%"
"19-12-2024","99.366","108.431","111.649","94.877","3.00M","-8.36%"
"18-12-2024","108.434","125.386","128.873","107.607","3.10M","-13.50%"
"17-12-2024","125.351","118.001","131.327","114.586","2.55M","6.23%"
"16-12-2024","118.001","121.123","123.880","115.523","1.47M","-2.57%"
"15-12-2024","121.117","118.223","122.129","114.718","922.70K","2.45%"
"14-12-2024","118.215","124.536","125.044","115.463","973.74K","-5.08%"
"13-12-2024","124.539","119.176","125.062","117.196","1.44M","4.50%"
"12-12-2024","119.176","117.331","124.976","116.522","1.87M","1.58%"
"11-12-2024","117.325","109.795","118.647","106.157","1.62M","6.85%"
"10-12-2024","109.800","110.446","114.725","101.479","3.41M","-0.88%"
"09-12-2024","110.775","134.845","134.947","101.382","3.09M","-17.85%"
"08-12-2024","134.842","133.800","135.735","130.198","913.72K","0.78%"
"07-12-2024","133.800","135.923","138.544","131.782","1.17M","-1.56%"
"06-12-2024","135.914","135.753","139.173","130.181","1.61M","0.06%"
"05-12-2024","135.839","133.748","146.488","125.035","3.74M","1.56%"
"04-12-2024","133.748","130.800","135.136","122.067","2.41M","2.27%"
"03-12-2024","130.784","132.897","134.943","122.118","3.35M","-1.58%"
"02-12-2024","132.884","119.557","139.182","115.226","6.06M","11.13%"
"01-12-2024","119.581","102.677","121.264","99.365","2.70M","16.48%"
"30-11-2024","102.664","104.675","104.821","100.443","1.14M","-1.92%"
"29-11-2024","104.669","95.523","104.686","94.750","1.16M","9.58%"
"28-11-2024","95.517","97.236","98.265","93.717","748.68K","-1.75%"
"27-11-2024","97.220","92.917","98.905","91.523","1.16M","4.63%"
"26-11-2024","92.917","92.224","95.227","88.079","1.27M","0.75%"
"25-11-2024","92.224","96.933","99.162","91.126","1.51M","-4.84%"
"24-11-2024","96.918","99.476","103.008","91.735","2.12M","-2.57%"
"23-11-2024","99.473","92.200","106.130","92.106","4.37M","7.96%"
"22-11-2024","92.138","89.510","92.626","87.794","1.78M","2.95%"
"21-11-2024","89.494","83.389","91.757","81.693","2.15M","7.31%"
"20-11-2024","83.401","86.638","87.765","82.412","1.27M","-3.74%"
"19-11-2024","86.638","89.186","90.104","85.110","1.39M","-2.86%"
"18-11-2024","89.186","87.178","94.656","86.493","2.35M","2.31%"
"17-11-2024","87.173","95.393","97.261","85.063","2.44M","-8.62%"
"16-11-2024","95.393","83.697","98.364","82.874","4.25M","13.97%"
"15-11-2024","83.703","82.261","87.140","78.901","2.33M","1.76%"
"14-11-2024","82.252","75.402","84.673","74.254","3.60M","9.09%"
"13-11-2024","75.400","76.639","77.885","71.883","1.71M","-1.62%"
"12-11-2024","76.639","80.018","82.710","74.129","2.47M","-4.21%"
"11-11-2024","80.006","76.533","80.242","74.632","2.47M","4.54%"
"10-11-2024","76.530","73.983","78.187","73.634","1.50M","3.44%"
"09-11-2024","73.983","72.780","74.180","71.615","532.93K","1.65%"
"08-11-2024","72.780","71.438","73.024","70.680","591.83K","1.88%"
"07-11-2024","71.438","71.021","72.342","69.966","601.30K","0.57%"
"06-11-2024","71.030","65.397","71.613","65.397","1.18M","8.61%"
"05-11-2024","65.397","65.548","67.276","64.877","561.52K","-0.23%"
"04-11-2024","65.548","66.840","67.716","64.460","466.65K","-1.93%"
"03-11-2024","66.840","69.193","69.290","65.283","494.29K","-3.39%"
